748595,Pantry,Woolworths Full Cream Long Life Milk UHT 1L,$1.65,$1.65 / 1L,$1.65,$1.65 / 1L,,,,https://www.woolworths.com.au/shop/productdetails/748595/woolworths-full-cream-long-life-milk-uht,Ultra Heat Treated Homogenised Full Cream Milk.,
770320,Pantry,Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG,$1.10,$2.75 / 1KG,,EVERYDAY LOW PRICE,,https://www.woolworths.com.au/shop/productdetails/770320/woolworths-diced-italian-tomatoes,"Tomato (60%), Tomato Juice, Acidity Regulator (Cit ric Acid)",
748597,Pantry,Woolworths Skim Long Life Milk UHT 1L,$1.65,$1.65 / 1L,$1.65,$1.65 / 1L,,,,https://www.woolworths.com.au/shop/productdetails/748597/woolworths-skim-long-life-milk-uht,Ultra Heat Treated Homogenised Skim Milk,
799813,Pantry,Woolworths Free From Lactose Lite Long Life Milk UHT 1L,$2.00,$2.00 / 1L,$2.00,$2.00 / 1L,,,,https://www.woolworths.com.au/shop/productdetails/799813/woolworths-free-from-lactose-lite-long-life-milk-uht,"Ultra Heat Treated Homogenised Reduced Fat Milk, E nzyme (Lactase)",
748596,Pantry,Woolworths Lite Long Life Milk UHT 1L,$1.65,$1.65 / 1L,$1.65,$1.65 / 1L,,,,https://www.woolworths.com.au/shop/productdetails/748596/woolworths-lite-long-life-milk-uht,Ultra Heat Treated Homogenised Reduced Fat Milk,
33557,Pantry,Devondale 100% Pure Full Cream Long Life Milk UHT 1L,$2.20,$2.20 / 1L,$2.20,$2.20 / 1L,,,,https://www.woolworths.com.au/shop/productdetails/33557/devondale-100-pure-full-cream-long-life-milk-uht,"Pure, Natural Full Cream Milk",
63005,Pantry,La Gina Italian Tomato Paste Passata 680g,$1.95,$0.29 / 100G,$1.95,$0.29 / 100G,,LOWER SHELF PRICE,WAS $2.20 - 13/05/2025,https://www.woolworths.com.au/shop/productdetails/63005/la-gina-italian-tomato-paste-passata,"Tomato (99%), Acidity Regulator (Citric Acid)",
38609,Pantry,Sirena Tuna In Oil Italian Style 95g,$2.95,$31.05 / 1KG,$2.95,$31.05 / 1KG,,,,https://www.woolworths.com.au/shop/productdetails/38609/sirena-tuna-in-oil-italian-style,"POLE & LINE CAUGHT YELLOWFIN TUNA (FISH)(73.5%), O IL (SUNFLOWER OIL AND EXTRA VIRGIN OLIVE OIL) (25% ), SEA SALT",
476700,Pantry,Woolworths Tuna In Springwater 95g,$1.10,$11.58 / 1KG,$1.10,$11.58 / 1KG,,EVERYDAY LOW PRICE,,https://www.woolworths.com.au/shop/productdetails/476700/woolworths-tuna-in-springwater,"Skipjack Tuna (Fish) (65%), Spring Water (35%)",
218926,Pantry,Woolworths Corn Sweet Kernels 420g,$1.20,$2.86 / 1KG,$1.20,$2.86 / 1KG,,,,https://www.woolworths.com.au/shop/productdetails/218926/woolworths-corn-sweet-kernels,"Sweetcorn (62%), Water",
